region,Moderaterna,Centerpartiet,Folkpartiet,Kristdemokraterna,Miljopartiet,Socialdemokraterna,Vansterpartiet,Sverigedemokraterna,Ovriga
"Tranås";"34.8";"26.8";"6.3";"5.4";"6.4";"6.4";"3.9";"9.6";"0.5"
"Uppvidinge";"32.6";"25.6";"3.7";"4.0";"14.3";"9.1";"5.0";"5.3";"0.4"
"Lessebo";"41.6";"24.1";"5.7";"4.4";"7.5";"7.6";"5.7";"3.0";"0.4"
"Tingsryd";"29.4";"30.4";"3.8";"4.0";"15.3";"7.3";"3.5";"5.8";"0.5"
"Alvesta";"31.0";"30.3";"4.3";"4.7";"11.2";"7.8";"4.5";"5.4";"0.8"
"Älmhult";"31.5";"29.9";"5.5";"4.8";"11.0";"7.3";"3.3";"5.9";"0.9"
"Markaryd";"33.2";"27.4";"3.6";"3.5";"9.6";"9.2";"2.8";"10.1";"0.6"
"Växjö";"28.8";"31.6";"7.7";"7.1";"7.5";"5.1";"5.2";"5.9";"1.0"
"Ljungby";"30.7";"27.9";"5.1";"5.1";"12.8";"6.1";"4.3";"7.1";"0.9"
"Högsby";"41.3";"21.3";"3.7";"3.4";"11.3";"7.5";"4.3";"6.1";"1.1"
"Torsås";"34.0";"25.3";"4.6";"3.6";"14.5";"7.2";"3.8";"6.0";"0.8"
"Mörbylånga";"28.1";"31.2";"6.3";"5.8";"11.0";"5.9";"4.3";"6.5";"0.9"
"Hultsfred";"39.1";"20.7";"4.0";"3.7";"11.7";"6.1";"5.4";"8.6";"0.8"
"Mönsterås";"39.4";"23.1";"4.4";"4.3";"10.4";"6.6";"5.4";"5.6";"0.9"
"Emmaboda";"40.3";"23.6";"4.7";"3.0";"11.1";"5.8";"5.2";"5.3";"1.1"
"Kalmar";"32.9";"29.7";"7.9";"6.2";"6.5";"5.4";"4.8";"5.5";"1.1"
"Nybro";"38.6";"24.5";"4.0";"3.6";"9.9";"5.8";"6.1";"6.1";"1.4"
"Oskarshamn";"37.2";"27.7";"4.2";"5.7";"4.9";"6.2";"5.7";"7.3";"1.0"
"Västervik";"39.9";"25.8";"5.4";"5.5";"7.3";"5.2";"5.1";"4.7";"1.1"
"Vimmerby";"35.6";"25.6";"4.6";"3.9";"12.4";"6.3";"4.2";"6.3";"1.0"
"Borgholm";"23.3";"31.7";"6.2";"5.0";"16.8";"5.2";"3.6";"7.3";"1.0"
"Gotland";"33.3";"25.2";"8.4";"4.6";"14.6";"3.2";"6.1";"2.9";"1.7"
"Olofström";"47.0";"18.9";"3.6";"3.7";"6.1";"9.8";"5.6";"4.5";"0.8"
"Karlskrona";"35.3";"28.7";"5.6";"6.5";"5.6";"8.9";"4.4";"4.3";"0.8"
"Ronneby";"34.7";"26.8";"5.0";"4.7";"7.5";"10.9";"5.9";"3.5";"1.0"
"Karlshamn";"37.3";"26.3";"6.3";"5.3";"5.0";"9.4";"6.1";"3.5";"0.9"
"Sölvesborg";"34.4";"31.5";"4.1";"4.1";"4.8";"12.2";"4.0";"4.0";"0.9"
"Svalöv";"28.9";"27.4";"4.8";"5.7";"11.7";"13.1";"3.5";"3.4";"1.5"
"Bara";"..";"..";"..";"..";"..";"..";"..";"..";".."
"Staffanstorp";"22.4";"42.5";"5.1";"8.1";"5.1";"8.7";"2.1";"3.8";"2.3"
"Burlöv";"33.6";"30.9";"5.3";"6.9";"2.7";"12.5";"3.8";"2.5";"1.9"
"Vellinge";"9.4";"59.1";"3.2";"8.7";"4.3";"7.0";"0.9";"6.2";"1.4"
"Östra Göinge";"36.4";"24.8";"4.3";"6.0";"6.2";"13.7";"3.5";"4.2";"1.0"
"Örkelljunga";"25.7";"29.4";"4.1";"5.9";"6.6";"12.4";"3.0";"11.5";"1.5"
"Bjuv";"40.6";"25.9";"3.5";"4.9";"3.7";"14.9";"3.2";"2.7";"0.7"
"Kävlinge";"25.4";"40.0";"4.7";"8.6";"5.3";"9.1";"2.1";"3.6";"1.2"
